name,degree,degree_centrality,betweenness_centrality
Acele,6,0.057692307692307696,0.0
Andre,6,0.057692307692307696,0.0
Egg Head,6,0.057692307692307696,0.0
Kim Kitsuragi,85,0.8173076923076924,0.3038846132292735
Noid,6,0.057692307692307696,0.0
"Soona, the Programmer",6,0.057692307692307696,0.0
You,86,0.826923076923077,0.3197546655070928
Alain,15,0.14423076923076925,0.0004132059957302675
Cuno,15,0.14423076923076925,0.004060866318147872
De Paule,12,0.11538461538461539,1.697331794419173e-05
Elizabeth,14,0.13461538461538464,0.00013314624965110402
Eugene,15,0.14423076923076925,0.0004132059957302675
Fat Angus,11,0.10576923076923078,0.0
"Garte, the Cafeteria Manager",18,0.17307692307692307,0.002840390461749685
Glen,14,0.13461538461538464,0.00013314624965110402
Kortenaer,12,0.11538461538461539,1.697331794419173e-05
Ruud Hoenkloewen,11,0.10576923076923078,0.0
Shanky,13,0.125,7.468259895444362e-05
The Gardener,14,0.13461538461538464,0.00013314624965110402
Theo,11,0.10576923076923078,0.0
Titus Hardie,15,0.14423076923076925,0.0004132059957302675
Alice,11,0.10576923076923078,0.0011469113410860984
Chester McLaine,12,0.11538461538461539,0.0011469113410860984
DJ Flacio,5,0.04807692307692308,0.0
DJ Mesh,5,0.04807692307692308,0.0
Jean Vicquemare,10,0.09615384615384616,0.0004934386002347168
Judit Minot,10,0.09615384615384616,0.0004934386002347168
Jules Pidieu,7,0.06730769230769232,0.0
Mack Torson,12,0.11538461538461539,0.0011469113410860984
Nix Gottlieb,7,0.06730769230769232,0.0
Sylvie,5,0.04807692307692308,0.0
Alphonse the Scab,3,0.028846153846153848,0.0
Sad Scab,3,0.028846153846153848,0.0
Self-Educated Humanitarian,3,0.028846153846153848,0.0
Strikebreaker,3,0.028846153846153848,0.0
Annette,2,0.019230769230769232,0.0
Another Scab,3,0.028846153846153848,0.0
Old Scab,3,0.028846153846153848,0.0
Scab,12,0.11538461538461539,0.0075882855009068596
Unemployed Person,7,0.06730769230769232,0.000906860130161101
Banger Scab,4,0.038461538461538464,0.0
Former Coal Miner,7,0.06730769230769232,0.0004645435470678189
Probably a Migrant,7,0.06730769230769232,0.0004645435470678189
Right-to-Worker,7,0.06730769230769232,0.0011269070735090154
Scabette,7,0.06730769230769232,0.0004645435470678189
Barry the Butcher,3,0.028846153846153848,0.0
Man on water lock,3,0.028846153846153848,0.0
Bird's Nest Roy,2,0.019230769230769232,0.0
Boy Strikebreaker,3,0.028846153846153848,0.0
Very Hard to Exploit Handicapped Person,3,0.028846153846153848,0.0
Call Me Mañana,3,0.028846153846153848,0.0
Scab Leader,5,0.04807692307692308,0.00012447099825740602
Cindy the SKULL,6,0.057692307692307696,9.335324869305452e-05
Civilian,5,0.04807692307692308,0.0
Joyce Messier,6,0.057692307692307696,9.335324869305452e-05
Plaisance,5,0.04807692307692308,0.0
"Lilienne, the Net Picker",4,0.038461538461538464,0.0
Cleaning Lady,2,0.019230769230769232,0.0
Cunoesse,4,0.038461538461538464,0.0
Insulindian Phasmid,4,0.038461538461538464,0.0
"Lena, the Cryptozoologist's wife",6,0.057692307692307696,0.00015558874782175752
Smoker on the Balcony,3,0.028846153846153848,0.0
The Deserter,4,0.038461538461538464,0.0
The Hanged Man,5,0.04807692307692308,0.00012447099825740602
Trant Heidelstam,6,0.057692307692307696,0.00018670649738610905
Cuno's Dad,2,0.019230769230769232,0.0
Easy Leo,2,0.019230769230769232,0.0
Echo Maker,3,0.028846153846153848,0.0
"Steban, the Student Communist",3,0.028846153846153848,0.0
Evrart Claire,2,0.019230769230769232,0.0
Mother of a Scab,5,0.04807692307692308,0.0
Frittte clerk,3,0.028846153846153848,0.0
Idiot Doom Spiral,4,0.038461538461538464,6.223549912870301e-05
Fuck the World,3,0.028846153846153848,0.0
Pissf****t,3,0.028846153846153848,0.0
"Morell, the Cryptozoologist",5,0.04807692307692308,4.667662434652726e-05
Sleeping Dockworker,3,0.028846153846153848,0.0
"Gary, the Cryptofascist",4,0.038461538461538464,0.0
Gaston Martin,3,0.028846153846153848,0.0
René Arnoux,3,0.028846153846153848,0.0
Gorący Kubek,2,0.019230769230769232,0.0
Horse-Faced Woman,3,0.028846153846153848,0.0
Man with Sunglasses,3,0.028846153846153848,0.0
Rosemary,3,0.028846153846153848,0.0
Job Market Loser,2,0.019230769230769232,0.0
Large Scab,2,0.019230769230769232,0.0
Klaasje (Miss Oranje Disco Dancer),3,0.028846153846153848,0.0
Lilienne's Other Twin,3,0.028846153846153848,0.0
Lilienne's Twin,3,0.028846153846153848,0.0
Little Lily,2,0.019230769230769232,0.0
Measurehead,4,0.038461538461538464,0.0
Measurehead's Babe,4,0.038461538461538464,0.0
Mikael Heidelstam,3,0.028846153846153848,0.0
Novelty Dicemaker,2,0.019230769230769232,0.0
Paledriver,2,0.019230769230769232,0.0
Racist lorry driver,2,0.019230769230769232,0.0
"Ruby, the Instigator",2,0.019230769230769232,0.0
Siileng,2,0.019230769230769232,0.0
Sunday Friend,2,0.019230769230769232,0.0
The Pigs,2,0.019230769230769232,0.0
Tiago,2,0.019230769230769232,0.0
Tommy Le Homme,2,0.019230769230769232,0.0
Washerwoman,2,0.019230769230769232,0.0
Working Class Woman,2,0.019230769230769232,0.0
Real Estate Agent,1,0.009615384615384616,0.0
